2,3-diphosphonooxypropanoic acid	C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
2,4,5-trichlorocyclohexa-2,5-dien-1-ol	C1=C(C(C=C(C1O)Cl)Cl)Cl
2,4-diaminopentanoic acid	CC(CC(C(=O)O)N)N
2,5-dichlorocyclohexa-2,5-diene-1,4-diol	C1=C(C(C=C(C1O)Cl)O)Cl
2,5-dichlorobenzene-1,4-diol	C1=C(C(=CC(=C1Cl)O)Cl)O
2,5-dichlorophenol	C1=CC(=C(C=C1Cl)O)Cl
3,4,6-trihydroxy-2,5-dioxohexanoic acid	C(C(=O)C(C(C(=O)C(=O)O)O)O)O
2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol	CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
2-hydroxy-6-oxohepta-2,4-dienoic acid	CC(=O)C=CC=C(C(=O)O)O
4-methyl-2-oxopentanoic acid	CC(C)CC(=O)C(=O)O
2-oxohexanedioic acid	C(CC(=O)C(=O)O)CC(=O)O
3,4-dihydroxybenzoic acid	C1=CC(=C(C=C1C(=O)O)O)O
[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-aminopropanal	C(CN)C=O
3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one	CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
2-hydroxy-2-propan-2-ylbutanedioic acid	CC(C)C(CC(=O)O)(C(=O)O)O
2-amino-3-chloropropanoic acid	C(C(C(=O)O)N)Cl
pyridine-3-carbonitrile	C1=CC(=CN=C1)C#N
4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid	C1C(C(C(=O)C=C1C(=O)O)O)O
4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O
5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid	C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O
3-hydroxyphosphonoyl-2-oxopropanoic acid	C(C(=O)C(=O)O)P(=O)O
